x1,y1
19.686,1
19,1.3205
18,1.8191
17.691,2
17,2.4127
16.083,3
16,3.0674
15,3.8929
14.876,4
14,4.8594
13.862,5
13.015,6
13,6.0204
12.34,7
12,7.5785
11.767,8
11.331,9
11,9.9668
10.989,10
10.801,11
10.775,12
11,12.667
12,13
13,13
14,13
15,13
16,13
17,13
18,13
19,13
19,13
19.869,14
19.869,15
19.869,16
19.869,17
19.869,18
19,19
19,19
18,19
17.518,20
18,20.895
18.081,21
19,21.533
20,21.802
21,21.79
22,21.6
23,21.291
23.694,21
24,20.855
25,20.257
25.348,20
26,19.475
26.496,19
27,18.483
27.371,18
28,17.134
28.078,17
28.584,16
29,15.12
29.046,15
29.375,14
29.671,13
29.932,12
30,11.676
30.091,11
30.186,10
30.238,9
30.246,8
30.219,7
30.164,6
30.079,5
30,4.3401
29.941,4
29.717,3
29.429,2
29.153,1
