x1,y1
25.332,31
25.272,30
25.096,29
25,28.72
24.84,28
24.522,27
24.282,26
24.259,25
24.593,24
24.967,23
24.979,22
24.898,21
25,20.708
25.425,20
25.721,19
25.87,18
26,17.126
26.045,17
26.315,16
26.432,15
26.439,14
26.397,13
26.306,12
26,11.117
25.974,11
25.471,10
25,9.4887
24.495,9
24,8.5523
23,8.0562
22,8.0004
21,8.0185
20,8.0114
19.391,8
19,7.9873
18.924,8
18,8.0836
17,8.3433
16,8.8904
15.891,9
15,9.5477
14,9.9868
13.806,10
13,10.048
12,10.179
11,10.61
10.118,11
10,11.283
9.7126,11
9,10.815
8,10.568
7,10.371
6,10.3
5,10.269
4,10.465
3,10.391
2,10.548
1,10.76
